symbol,systematic_name,nutrient,rate,expression,bp,mf
OAR1,YKL055C,Glucose,0.05,0.65,aerobic respiration*,3-oxoacyl-[acyl-carrier protein] reductase activity
LST4,YKL176C,Glucose,0.05,-0.05,vesicle-mediated transport*,protein transporter activity
NA,YMR134W,Glucose,0.05,0.04,iron ion homeostasis,molecular function unknown
CIN1,YOR349W,Glucose,0.05,0.11,post-chaperonin tubulin folding pathway*,beta-tubulin binding
RAD55,YDR076W,Glucose,0.05,-1.18,meiotic DNA recombinase assembly*,protein binding
AGA1,YNR044W,Glucose,0.05,-0.1,agglutination during conjugation with cellular fusion,cell adhesion molecule binding
EXG1,YLR300W,Glucose,0.05,-0.3,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity"
RAD5,YLR032W,Glucose,0.05,0.1,DNA repair,ATPase activity
SPC42,YKL042W,Glucose,0.05,-0.53,microtubule nucleation*,structural constituent of cytoskeleton
NA,YBR239C,Glucose,0.05,-0.16,biological process unknown,molecular function unknown
NA,YOR246C,Glucose,0.05,-0.06,biological process unknown,oxidoreductase activity
SDT1,YGL224C,Glucose,0.05,0.79,pyrimidine base metabolism,nucleotidase activity
YBP2,YGL060W,Glucose,0.05,-0.02,biological process unknown,molecular function unknown
NA,YMR317W,Glucose,0.05,0.55,biological process unknown,molecular function unknown
NA,YCR102C,Glucose,0.05,-0.89,biological process unknown,molecular function unknown
PRP21,YJL203W,Glucose,0.05,-0.18,"nuclear mRNA splicing, via spliceosome",RNA binding
BI2,Q0110,Glucose,0.05,-1.55,RNA splicing,nuclease activity
PET111,YMR257C,Glucose,0.05,-0.43,protein biosynthesis,translation regulator activity
NA,YDR117C,Glucose,0.05,-0.19,biological process unknown,RNA binding
NA,YDR338C,Glucose,0.05,-0.14,biological process unknown,molecular function unknown
SPF1,YEL031W,Glucose,0.05,-0.64,protein amino acid glycosylation*,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism"
ERG4,YGL012W,Glucose,0.05,-0.59,ergosterol biosynthesis,delta24(24-1) sterol reductase activity
RCE1,YMR274C,Glucose,0.05,-0.29,protein processing*,prenyl-dependent CAAX protease activity
RBA50,YDR527W,Glucose,0.05,-0.43,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity
NSL1,YPL233W,Glucose,0.05,-0.39,chromosome segregation,molecular function unknown
PXL1,YKR090W,Glucose,0.05,-0.85,maintenance of cell polarity (sensu Fungi),protein binding
RRN7,YJL025W,Glucose,0.05,-0.58,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity
NA,YMR171C,Glucose,0.05,-0.7,biological process unknown,molecular function unknown
IST2,YBR086C,Glucose,0.05,-0.85,response to osmotic stress,molecular function unknown
NA,YLL054C,Glucose,0.05,-0.4,biological process unknown,transcriptional activator activity
NA,YOR291W,Glucose,0.05,-0.3,biological process unknown,molecular function unknown
NA,YNL320W,Glucose,0.05,-0.16,biological process unknown,molecular function unknown
SHS1,YDL225W,Glucose,0.05,-0.32,establishment of cell polarity (sensu Fungi)*,structural constituent of cytoskeleton
RUD3,YOR216C,Glucose,0.05,-0.43,ER to Golgi transport,molecular function unknown
CTK1,YKL139W,Glucose,0.05,-0.31,protein amino acid phosphorylation*,protein kinase activity*
NA,YOR006C,Glucose,0.05,-0.31,biological process unknown,molecular function unknown
RPB2,YOR151C,Glucose,0.05,-0.33,transcription from RNA polymerase II promoter,DNA-directed RNA polymerase activity
NPL6,YMR091C,Glucose,0.05,-0.71,protein-nucleus import,molecular function unknown
NA,YOR166C,Glucose,0.05,-0.28,biological process unknown,molecular function unknown
NA,YDR065W,Glucose,0.05,-0.19,biological process unknown,molecular function unknown
SET7,YDR257C,Glucose,0.05,-0.35,biological process unknown,molecular function unknown
URB1,YKL014C,Glucose,0.05,-0.53,rRNA processing*,molecular function unknown
MPP10,YJR002W,Glucose,0.05,-0.17,rRNA modification*,molecular function unknown
ALA1,YOR335C,Glucose,0.05,-0.12,alanyl-tRNA aminoacylation,alanine-tRNA ligase activity
ESC2,YDR363W,Glucose,0.05,-0.27,chromatin silencing at silent mating-type cassette,molecular function unknown
UTP22,YGR090W,Glucose,0.05,-0.27,35S primary transcript processing,snoRNA binding
AAH1,YNL141W,Glucose,0.05,-0.9,adenine catabolism,adenine deaminase activity
SEC53,YFL045C,Glucose,0.05,-1.19,protein-ER targeting,phosphomannomutase activity
ARO7,YPR060C,Glucose,0.05,-1.09,aromatic amino acid family biosynthesis,chorismate mutase activity
NA,YLR049C,Glucose,0.05,-0.15,biological process unknown,molecular function unknown
NA,YBR159W,Glucose,0.05,-0.64,fatty acid elongation,ketoreductase activity
DPP1,YDR284C,Glucose,0.05,-0.38,signal transduction*,phosphatidate phosphatase activity*
NA,YGR026W,Glucose,0.05,-0.42,biological process unknown,molecular function unknown
NA,YDR307W,Glucose,0.05,-0.28,biological process unknown,molecular function unknown
SVL3,YPL032C,Glucose,0.05,-0.61,endocytosis,molecular function unknown
SDA1,YGR245C,Glucose,0.05,-0.79,actin cytoskeleton organization and biogenesis*,molecular function unknown
NA,YCR013C,Glucose,0.05,-1.25,NA,NA
NA,YPL136W,Glucose,0.05,-0.14,NA,NA
GTT3,YEL017W,Glucose,0.05,-0.65,glutathione metabolism,molecular function unknown
NA,YJR030C,Glucose,0.05,-0.9,biological process unknown,molecular function unknown
SXM1,YDR395W,Glucose,0.05,-0.56,mRNA-nucleus export*,protein carrier activity
NA,YLR363W-A,Glucose,0.05,-0.72,biological process unknown,molecular function unknown
DHR2,YKL078W,Glucose,0.05,-0.55,ribosome biogenesis,RNA helicase activity
ENP2,YGR145W,Glucose,0.05,-0.73,rRNA processing,molecular function unknown
NA,YBR042C,Glucose,0.05,-0.88,phospholipid biosynthesis,acyltransferase activity
ALG14,YBR070C,Glucose,0.05,-0.63,dolichol-linked oligosaccharide biosynthesis,"transferase activity, transferring glycosyl groups"
LSM4,YER112W,Glucose,0.05,-0.53,"nuclear mRNA splicing, via spliceosome*",RNA binding
MPA43,YNL249C,Glucose,0.05,-0.25,biological process unknown,molecular function unknown
IMP4,YNL075W,Glucose,0.05,-0.28,rRNA modification*,rRNA primary transcript binding
PRP39,YML046W,Glucose,0.05,-0.66,"nuclear mRNA splicing, via spliceosome",RNA binding
RSR1,YGR152C,Glucose,0.05,-0.88,bipolar bud site selection*,GTPase activity*
UTP30,YKR060W,Glucose,0.05,-0.61,35S primary transcript processing,snoRNA binding
POL30,YBR088C,Glucose,0.05,-1.3,nucleotide-excision repair*,DNA polymerase processivity factor activity
CPR7,YJR032W,Glucose,0.05,-0.53,response to stress,unfolded protein binding*
KRR1,YCL059C,Glucose,0.05,-0.55,rRNA processing*,molecular function unknown
NUP133,YKR082W,Glucose,0.05,-0.29,mRNA-nucleus export*,structural molecule activity
NA,YDR267C,Glucose,0.05,-0.37,biological process unknown,molecular function unknown
CLB4,YLR210W,Glucose,0.05,-0.54,G2/M transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
VPH1,YOR270C,Glucose,0.05,-1.12,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism"
SWI5,YDR146C,Glucose,0.05,-0.75,G1-specific transcription in mitotic cell cycle,transcriptional activator activity
CDC45,YLR103C,Glucose,0.05,-0.69,DNA replication initiation*,DNA binding
VRG4,YGL225W,Glucose,0.05,-1.51,protein amino acid N-linked glycosylation*,nucleotide-sugar transporter activity
HTB2,YBL002W,Glucose,0.05,-1.23,chromatin assembly or disassembly,DNA binding
NA,YLR112W,Glucose,0.05,-1.7,NA,NA
NUP82,YJL061W,Glucose,0.05,-0.71,mRNA-nucleus export*,structural molecule activity
POL5,YEL055C,Glucose,0.05,-0.6,rRNA transcription,molecular function unknown*
OGG1,YML060W,Glucose,0.05,-0.69,DNA repair*,purine-specific oxidized base lesion DNA N-glycosylase activity
NA,YMR259C,Glucose,0.05,-0.48,biological process unknown,molecular function unknown
RAS1,YOR101W,Glucose,0.05,-0.97,Ras protein signal transduction*,GTPase activity
SKG6,YHR149C,Glucose,0.05,-0.94,biological process unknown,molecular function unknown
PFK27,YOL136C,Glucose,0.05,-2.01,"fructose 2,6-bisphosphate metabolism*",6-phosphofructo-2-kinase activity
RTT107,YHR154W,Glucose,0.05,-0.84,double-strand break repair*,molecular function unknown
DUN1,YDL101C,Glucose,0.05,-0.97,protein amino acid phosphorylation*,protein kinase activity
NA,YPL267W,Glucose,0.05,-1.14,biological process unknown,molecular function unknown
HLR1,YDR528W,Glucose,0.05,-1.22,cell wall organization and biogenesis,molecular function unknown
ALG2,YGL065C,Glucose,0.05,-0.71,oligosaccharide-lipid intermediate assembly,glycolipid mannosyltransferase activity
PAN2,YGL094C,Glucose,0.05,-0.58,postreplication repair*,poly(A)-specific ribonuclease activity
NA,YLR455W,Glucose,0.05,-0.7,biological process unknown,molecular function unknown
YCS4,YLR272C,Glucose,0.05,-0.74,mitotic sister chromatid segregation*,molecular function unknown
BNI4,YNL233W,Glucose,0.05,-0.79,chitin biosynthesis*,protein binding
PLM2,YDR501W,Glucose,0.05,-1.27,G1/S-specific transcription in mitotic cell cycle,transcription factor activity
RNR1,YER070W,Glucose,0.05,-1.17,DNA replication,ribonucleoside-diphosphate reductase activity
TOS2,YGR221C,Glucose,0.05,-1,budding cell bud growth,molecular function unknown
POL1,YNL102W,Glucose,0.05,-0.96,DNA replication initiation*,alpha DNA polymerase activity
NA,YOL007C,Glucose,0.05,-1.23,biological process unknown,molecular function unknown
FAT1,YBR041W,Glucose,0.05,-0.85,lipid transport*,long-chain-fatty-acid-CoA ligase activity*
PIS1,YPR113W,Glucose,0.05,-1.48,cell cycle*,CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
ECM3,YOR092W,Glucose,0.05,-1.02,cell wall organization and biogenesis,ATPase activity
NA,YDL046W,Glucose,0.05,-0.21,biological process unknown,molecular function unknown
NA,YNL321W,Glucose,0.05,-0.37,biological process unknown,molecular function unknown
MSC7,YHR039C,Glucose,0.05,-0.56,meiotic recombination,molecular function unknown
NA,YKR027W,Glucose,0.05,-0.56,biological process unknown,molecular function unknown
ERG24,YNL280C,Glucose,0.05,-0.61,ergosterol biosynthesis,delta14-sterol reductase activity
GCN1,YGL195W,Glucose,0.05,-0.61,regulation of translational elongation,molecular function unknown
NAM7,YMR080C,Glucose,0.05,-0.25,mRNA catabolism*,ATP-dependent RNA helicase activity*
EMP70,YLR083C,Glucose,0.05,-0.41,transport,transporter activity
NA,YMR221C,Glucose,0.05,-0.72,biological process unknown,molecular function unknown
RSC3,YDR303C,Glucose,0.05,-0.64,"regulation of transcription, DNA-dependent*",DNA binding
SWE1,YJL187C,Glucose,0.05,-1.16,G2/M transition of mitotic cell cycle*,protein kinase activity
GAS3,YMR215W,Glucose,0.05,-1.31,biological process unknown,"1,3-beta-glucanosyltransferase activity"
GIC1,YHR061C,Glucose,0.05,-0.87,establishment of cell polarity (sensu Fungi)*,small GTPase regulator activity
HSD1,YOR311C,Glucose,0.05,-0.38,biological process unknown,molecular function unknown
NA,YBR187W,Glucose,0.05,-0.94,biological process unknown,molecular function unknown
KAP122,YGL016W,Glucose,0.05,-0.73,protein-nucleus import*,protein carrier activity
VAC17,YCL063W,Glucose,0.05,-0.71,vacuole inheritance,receptor activity
SCC2,YDR180W,Glucose,0.05,-0.35,mitotic sister chromatid cohesion*,protein kinase activity
APA1,YCL050C,Glucose,0.05,-0.25,nucleotide metabolism,bis(5'-nucleosyl)-tetraphosphatase activity
SEC12,YNR026C,Glucose,0.05,-0.37,ER to Golgi transport*,guanyl-nucleotide exchange factor activity
THS1,YIL078W,Glucose,0.05,-0.28,protein biosynthesis,threonine-tRNA ligase activity
GRS1,YBR121C,Glucose,0.05,-0.44,glycyl-tRNA aminoacylation*,glycine-tRNA ligase activity
RVB1,YDR190C,Glucose,0.05,-0.62,regulation of transcription from RNA polymerase II promoter*,ATPase activity
PDR16,YNL231C,Glucose,0.05,-1.1,response to drug*,phosphatidylinositol transporter activity
GCD6,YDR211W,Glucose,0.05,-0.37,translational initiation,translation initiation factor activity*
TCB3,YML072C,Glucose,0.05,-1.16,biological process unknown,lipid binding
NA,YMR247C,Glucose,0.05,-0.2,biological process unknown,molecular function unknown
ASI1,YMR119W,Glucose,0.05,-0.15,ubiquitin-dependent protein catabolism,ubiquitin-protein ligase activity
MCD1,YDL003W,Glucose,0.05,-1.42,mitotic sister chromatid cohesion*,molecular function unknown
SEN34,YAR008W,Glucose,0.05,-0.72,tRNA splicing,tRNA-intron endonuclease activity
CDC21,YOR074C,Glucose,0.05,-0.7,DNA-dependent DNA replication*,thymidylate synthase activity
RAD27,YKL113C,Glucose,0.05,-0.51,DNA repair*,5'-flap endonuclease activity
DBF4,YDR052C,Glucose,0.05,-0.43,protein amino acid phosphorylation*,protein serine/threonine kinase activity
GIN4,YDR507C,Glucose,0.05,-0.53,protein amino acid phosphorylation*,protein kinase activity
BEM3,YPL115C,Glucose,0.05,-0.28,establishment of cell polarity (sensu Fungi)*,signal transducer activity*
HPR1,YDR138W,Glucose,0.05,-0.15,mRNA-nucleus export*,nucleic acid binding
