symbol,systematic_name,nutrient,rate,expression,bp,mf
SFB2,YNL049C,Glucose,0.05,-0.24,ER to Golgi transport,molecular function unknown
NA,YNL095C,Glucose,0.05,0.28,biological process unknown,molecular function unknown
QRI7,YDL104C,Glucose,0.05,-0.02,proteolysis and peptidolysis,metalloendopeptidase activity
CFT2,YLR115W,Glucose,0.05,-0.33,mRNA polyadenylylation*,RNA binding
SSO2,YMR183C,Glucose,0.05,0.05,vesicle fusion*,t-SNARE activity
PSP2,YML017W,Glucose,0.05,-0.69,biological process unknown,molecular function unknown
RIB2,YOL066C,Glucose,0.05,-0.55,riboflavin biosynthesis,pseudouridylate synthase activity*
VMA13,YPR036W,Glucose,0.05,-0.75,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
EDC3,YEL015W,Glucose,0.05,-0.24,deadenylylation-independent decapping,molecular function unknown
VPS5,YOR069W,Glucose,0.05,-0.16,protein retention in Golgi*,protein transporter activity
NA,YOL029C,Glucose,0.05,-0.22,biological process unknown,molecular function unknown
AMN1,YBR158W,Glucose,0.05,0.18,negative regulation of exit from mitosis*,protein binding
SCW11,YGL028C,Glucose,0.05,-0.67,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity"
DSE2,YHR143W,Glucose,0.05,-0.59,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity"
COX15,YER141W,Glucose,0.05,-0.28,cytochrome c oxidase complex assembly*,"oxidoreductase activity, acting on NADH or NADPH, heme protein as acceptor"
SPE1,YKL184W,Glucose,0.05,-0.19,pantothenate biosynthesis*,ornithine decarboxylase activity
MTF1,YMR228W,Glucose,0.05,-0.42,transcription from mitochondrial promoter,S-adenosylmethionine-dependent methyltransferase activity*
KSS1,YGR040W,Glucose,0.05,-0.76,invasive growth (sensu Saccharomyces)*,MAP kinase activity
NA,YHR036W,Glucose,0.05,-0.91,biological process unknown,molecular function unknown
NA,YNL158W,Glucose,0.05,-0.47,biological process unknown,molecular function unknown
YAP7,YOL028C,Glucose,0.05,-0.51,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
NA,YBR074W,Glucose,0.05,-1.01,proteolysis and peptidolysis,metalloendopeptidase activity
YVC1,YOR087W,Glucose,0.05,-0.4,cation homeostasis,calcium channel activity*
CDC40,YDR364C,Glucose,0.05,-0.19,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism*"
NA,YPL162C,Glucose,0.05,-0.1,biological process unknown,molecular function unknown
RMD1,YDL001W,Glucose,0.05,-0.22,biological process unknown,molecular function unknown
PCL6,YER059W,Glucose,0.05,-0.25,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity
AI4,Q0065,Glucose,0.05,-0.36,RNA splicing*,endonuclease activity
GGC1,YDL198C,Glucose,0.05,0.76,mitochondrial genome maintenance*,guanine nucleotide transporter activity
SUL1,YBR294W,Glucose,0.05,-0.32,sulfate transport,sulfate transporter activity
RAD57,YDR004W,Glucose,0.05,-0.19,telomerase-independent telomere maintenance*,protein binding
NA,YBR292C,Glucose,0.05,-0.48,NA,NA
PER1,YCR044C,Glucose,0.05,-0.21,response to unfolded protein*,molecular function unknown
YHC3,YJL059W,Glucose,0.05,0.02,intracellular protein transport*,basic amino acid transporter activity
SGE1,YPR198W,Glucose,0.05,0.22,response to drug*,xenobiotic-transporting ATPase activity
HNM1,YGL077C,Glucose,0.05,-0.67,choline transport,choline transporter activity
SWI1,YPL016W,Glucose,0.05,-0.23,chromatin remodeling,general RNA polymerase II transcription factor activity
NAM8,YHR086W,Glucose,0.05,-0.24,"nuclear mRNA splicing, via spliceosome*",RNA binding*
NA,YLR356W,Glucose,0.05,0.61,biological process unknown,molecular function unknown
BGL2,YGR282C,Glucose,0.05,-0.08,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity"
ACT1,YFL039C,Glucose,0.05,-0.04,cell wall organization and biogenesis*,structural constituent of cytoskeleton
NA,YKL100C,Glucose,0.05,-0.19,biological process unknown,molecular function unknown
SFL1,YOR140W,Glucose,0.05,-0.18,negative regulation of transcription from RNA polymerase II promoter,specific transcriptional repressor activity
OYE3,YPL171C,Glucose,0.05,-0.9,biological process unknown,NADPH dehydrogenase activity
MMP1,YLL061W,Glucose,0.05,-0.58,S-methylmethionine transport,S-methylmethionine transporter activity
MHT1,YLL062C,Glucose,0.05,-1.38,sulfur amino acid metabolism,homocysteine S-methyltransferase activity
SUL2,YLR092W,Glucose,0.05,-1.14,sulfate transport,sulfate transporter activity
IPP1,YBR011C,Glucose,0.05,-0.55,phosphate metabolism,inorganic diphosphatase activity
CWP1,YKL096W,Glucose,0.05,-0.91,cell wall organization and biogenesis,structural constituent of cell wall
SNF11,YDR073W,Glucose,0.05,0.15,chromatin remodeling,general RNA polymerase II transcription factor activity
PEX25,YPL112C,Glucose,0.05,-0.2,peroxisome organization and biogenesis*,molecular function unknown
ELO1,YJL196C,Glucose,0.05,-0.37,"fatty acid elongation, unsaturated fatty acid",fatty acid elongase activity
NA,YNL275W,Glucose,0.05,0.14,transport*,anion transporter activity*
CDC13,YDL220C,Glucose,0.05,-0.79,telomere maintenance*,single-stranded DNA binding
FKH1,YIL131C,Glucose,0.05,-0.57,pseudohyphal growth*,transcription factor activity
SWD1,YAR003W,Glucose,0.05,-0.41,chromatin silencing at telomere*,histone lysine N-methyltransferase activity (H3-K4 specific)
NA,YLR437C,Glucose,0.05,-0.19,biological process unknown,molecular function unknown
HOF1,YMR032W,Glucose,0.05,-0.72,cytokinesis,cytoskeletal protein binding
HOC1,YJR075W,Glucose,0.05,-0.42,cell wall mannoprotein biosynthesis*,"transferase activity, transferring glycosyl groups*"
BNI5,YNL166C,Glucose,0.05,-0.4,cytokinesis*,molecular function unknown
CSN12,YJR084W,Glucose,0.05,-0.49,adaptation to pheromone during conjugation with cellular fusion,molecular function unknown
PGS1,YCL004W,Glucose,0.05,-0.19,phospholipid biosynthesis,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
MLP2,YIL149C,Glucose,0.05,-0.37,mRNA-nucleus export*,ribonucleoprotein binding
HRP1,YOL123W,Glucose,0.05,-0.35,mRNA polyadenylylation*,RNA binding
NA,YPL009C,Glucose,0.05,-0.08,biological process unknown,molecular function unknown
SEC39,YLR440C,Glucose,0.05,-0.29,secretory pathway,molecular function unknown
ECM31,YBR176W,Glucose,0.05,-0.15,pantothenate biosynthesis,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
NA,YMR158C-A,Glucose,0.05,-0.67,biological process unknown,molecular function unknown
NA,YCL021W-A,Glucose,0.05,-1.06,biological process unknown,molecular function unknown
ADE4,YMR300C,Glucose,0.05,-0.06,'de novo' IMP biosynthesis*,amidophosphoribosyltransferase activity
ABC1,YGL119W,Glucose,0.05,-0.05,ubiquinone biosynthesis,molecular function unknown
DLD2,YDL178W,Glucose,0.05,-0.1,biological process unknown*,actin binding*
PHA2,YNL316C,Glucose,0.05,-0.01,"phenylalanine biosynthesis, prephenate pathway",prephenate dehydratase activity
NA,YLR236C,Glucose,0.05,-0.42,NA,NA
HAP3,YBL021C,Glucose,0.05,-0.18,transcription*,transcriptional activator activity
MRPL23,YOR150W,Glucose,0.05,-0.67,protein biosynthesis*,structural constituent of ribosome
NA,YAL046C,Glucose,0.05,0.05,biological process unknown,molecular function unknown
NA,YNL122C,Glucose,0.05,-0.58,biological process unknown,molecular function unknown
MRPL16,YBL038W,Glucose,0.05,-0.12,protein biosynthesis,structural constituent of ribosome*
NA,YPL183W-A,Glucose,0.05,-0.61,protein biosynthesis,structural constituent of ribosome
NA,YDL241W,Glucose,0.05,-1.06,biological process unknown,molecular function unknown
NA,YPR123C,Glucose,0.05,0.43,NA,NA
NA,YDR132C,Glucose,0.05,0.01,biological process unknown,molecular function unknown
AI3,Q0060,Glucose,0.05,-0.23,biological process unknown,endonuclease activity
COX1,Q0045,Glucose,0.05,-0.59,aerobic respiration*,cytochrome-c oxidase activity
NA,Q0182,Glucose,0.05,-1.06,NA,NA
VAR1,Q0140,Glucose,0.05,-1.17,protein biosynthesis*,structural constituent of ribosome
COX3,Q0275,Glucose,0.05,-0.81,aerobic respiration*,cytochrome-c oxidase activity
COX2,Q0250,Glucose,0.05,-0.89,aerobic respiration*,cytochrome-c oxidase activity
AI5_BETA,Q0075,Glucose,0.05,-0.77,biological process unknown,molecular function unknown
AI2,Q0055,Glucose,0.05,-0.92,RNA splicing,RNA binding*
NA,YLR042C,Glucose,0.05,0.01,biological process unknown,molecular function unknown
NA,YLR255C,Glucose,0.05,-0.56,NA,NA
GPI18,YBR004C,Glucose,0.05,-0.37,GPI anchor biosynthesis,mannosyltransferase activity
COS9,YKL219W,Glucose,0.05,0.45,biological process unknown,molecular function unknown
NA,YLR407W,Glucose,0.05,-0.25,biological process unknown,molecular function unknown
NA,YLL023C,Glucose,0.05,0.01,biological process unknown,molecular function unknown
PRP46,YPL151C,Glucose,0.05,-0.03,"nuclear mRNA splicing, via spliceosome",molecular function unknown
XDJ1,YLR090W,Glucose,0.05,-0.1,biological process unknown,chaperone regulator activity
SLG1,YOR008C,Glucose,0.05,-0.06,cell wall organization and biogenesis*,transmembrane receptor activity
MAM3,YOL060C,Glucose,0.05,0.14,mitochondrion organization and biogenesis*,molecular function unknown
AEP1,YMR064W,Glucose,0.05,-0.31,protein biosynthesis,molecular function unknown
UGO1,YDR470C,Glucose,0.05,-0.17,transport*,transporter activity
NA,YDL156W,Glucose,0.05,-0.32,biological process unknown,molecular function unknown
RSC2,YLR357W,Glucose,0.05,-0.47,chromatin remodeling*,molecular function unknown
YAP1801,YHR161C,Glucose,0.05,-0.05,endocytosis,clathrin binding
ZPR1,YGR211W,Glucose,0.05,0,regulation of progression through cell cycle,protein binding
BCD1,YHR040W,Glucose,0.05,0,snoRNA metabolism,nucleic acid binding
UBP10,YNL186W,Glucose,0.05,0.07,chromatin silencing at telomere*,ubiquitin-specific protease activity
SLD3,YGL113W,Glucose,0.05,-0.31,DNA replication initiation*,chromatin binding
RLF2,YPR018W,Glucose,0.05,-0.69,nucleosome assembly,transcription regulator activity
LRO1,YNR008W,Glucose,0.05,-0.36,triacylglycerol biosynthesis*,phospholipid:diacylglycerol acyltransferase activity
NA,YDR348C,Glucose,0.05,-0.74,biological process unknown,molecular function unknown
ITR2,YOL103W,Glucose,0.05,-0.8,myo-inositol transport,myo-inositol transporter activity
ABP140,YOR239W,Glucose,0.05,-0.51,actin cytoskeleton organization and biogenesis,S-adenosylmethionine-dependent methyltransferase activity*
STT3,YGL022W,Glucose,0.05,-0.64,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
PTC2,YER089C,Glucose,0.05,-1.04,G1/S transition of mitotic cell cycle*,protein phosphatase type 2C activity
STE20,YHL007C,Glucose,0.05,-0.45,protein amino acid phosphorylation*,protein serine/threonine kinase activity
HRD3,YLR207W,Glucose,0.05,-0.16,ER-associated protein catabolism,ubiquitin-protein ligase activity
CWH43,YCR017C,Glucose,0.05,-0.53,cell wall organization and biogenesis*,molecular function unknown
ASK10,YGR097W,Glucose,0.05,-0.44,response to oxidative stress*,transcription regulator activity
MPE1,YKL059C,Glucose,0.05,-0.23,mRNA polyadenylylation*,RNA binding
SWC3,YAL011W,Glucose,0.05,-0.18,chromatin remodeling*,molecular function unknown
TSA1,YML028W,Glucose,0.05,-0.65,response to oxidative stress*,thioredoxin peroxidase activity
ADE17,YMR120C,Glucose,0.05,-0.88,'de novo' IMP biosynthesis*,IMP cyclohydrolase activity*
GFD2,YCL036W,Glucose,0.05,-1.25,biological process unknown,molecular function unknown
PXR1,YGR280C,Glucose,0.05,-0.48,35S primary transcript processing*,RNA binding
NA,YNL313C,Glucose,0.05,-0.24,karyogamy,molecular function unknown
BUD14,YAR014C,Glucose,0.05,-0.12,cellular morphogenesis during vegetative growth,molecular function unknown
AUS1,YOR011W,Glucose,0.05,0.04,sterol transport,"ATPase activity, coupled to transmembrane movement of substances"
NHX1,YDR456W,Glucose,0.05,-0.82,vacuolar acidification*,monovalent inorganic cation transporter activity
NTE1,YML059C,Glucose,0.05,-0.32,phosphatidylcholine metabolism,hydrolase activity*
NA,YBR197C,Glucose,0.05,-0.35,biological process unknown,molecular function unknown
KIN3,YAR018C,Glucose,0.05,-0.83,chromosome segregation,protein kinase activity
BUD4,YJR092W,Glucose,0.05,-0.73,bud site selection*,GTP binding
SLI15,YBR156C,Glucose,0.05,-0.64,protein amino acid phosphorylation*,protein kinase activator activity
PMT4,YJR143C,Glucose,0.05,-1.14,protein amino acid O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity
AVT5,YBL089W,Glucose,0.05,-0.45,transport,transporter activity
CHS2,YBR038W,Glucose,0.05,-0.47,cytokinesis,chitin synthase activity
GPI13,YLL031C,Glucose,0.05,-0.7,GPI anchor biosynthesis,"transferase activity, transferring phosphorus-containing groups"
KAP95,YLR347C,Glucose,0.05,-0.4,protein-nucleus import,protein carrier activity
EFT2,YDR385W,Glucose,0.05,-0.35,translational elongation,translation elongation factor activity
EFT1,YOR133W,Glucose,0.05,-0.59,translational elongation,translation elongation factor activity
GAS1,YMR307W,Glucose,0.05,-0.58,cell wall organization and biogenesis*,"1,3-beta-glucanosyltransferase activity"
CYK3,YDL117W,Glucose,0.05,-0.48,cytokinesis,molecular function unknown
COQ2,YNR041C,Glucose,0.05,-0.68,ubiquinone metabolism,prenyltransferase activity*
PSD1,YNL169C,Glucose,0.05,-1.03,phosphatidylcholine biosynthesis,phosphatidylserine decarboxylase activity
NA,YOL107W,Glucose,0.05,-0.62,biological process unknown,molecular function unknown
PAC1,YOR269W,Glucose,0.05,-0.67,"nuclear migration, microtubule-mediated",molecular function unknown
SUR7,YML052W,Glucose,0.05,-0.79,sporulation (sensu Fungi),molecular function unknown
RAX1,YOR301W,Glucose,0.05,-0.89,bud site selection,molecular function unknown
DFM1,YDR411C,Glucose,0.05,-0.75,biological process unknown*,molecular function unknown
RBD2,YPL246C,Glucose,0.05,-0.73,biological process unknown,molecular function unknown
NA,YBL081W,Glucose,0.05,-0.83,biological process unknown,molecular function unknown
YIP4,YGL198W,Glucose,0.05,-0.49,vesicle-mediated transport,Rab GTPase binding
SRB2,YHR041C,Glucose,0.05,-0.66,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
HOL1,YNR055C,Glucose,0.05,-0.66,transport,transporter activity
MEP3,YPR138C,Glucose,0.05,-0.71,ammonium transport,ammonium transporter activity
NA,YOL092W,Glucose,0.05,-0.29,biological process unknown,molecular function unknown
FEN2,YCR028C,Glucose,0.05,-0.39,endocytosis*,pantothenate transporter activity
NA,YHR151C,Glucose,0.05,-0.53,biological process unknown,molecular function unknown
RFT1,YBL020W,Glucose,0.05,-0.72,protein amino acid N-linked glycosylation*,oligosaccharide transporter activity
NA,YDR107C,Glucose,0.05,-0.26,biological process unknown,molecular function unknown
MCK1,YNL307C,Glucose,0.05,-0.34,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity*
GPI10,YGL142C,Glucose,0.05,-0.24,GPI anchor biosynthesis,mannosyltransferase activity
APT1,YML022W,Glucose,0.05,-0.31,AMP biosynthesis*,adenine phosphoribosyltransferase activity
NA,YCL002C,Glucose,0.05,-0.14,biological process unknown,molecular function unknown
NA,YLR050C,Glucose,0.05,-0.38,biological process unknown,molecular function unknown
CPT1,YNL130C,Glucose,0.05,-0.66,phosphatidylcholine biosynthesis,diacylglycerol cholinephosphotransferase activity
ERV29,YGR284C,Glucose,0.05,-0.23,ER to Golgi transport,molecular function unknown
SFK1,YKL051W,Glucose,0.05,-0.99,actin cytoskeleton organization and biogenesis*,molecular function unknown
NA,YDL119C,Glucose,0.05,-0.2,transport,transporter activity
SEC20,YDR498C,Glucose,0.05,-0.25,vesicle fusion*,v-SNARE activity
TIR4,YOR009W,Glucose,0.05,-0.15,biological process unknown,molecular function unknown
NA,YPR004C,Glucose,0.05,-0.22,biological process unknown,electron carrier activity
NA,YMR315W,Glucose,0.05,-0.26,biological process unknown,molecular function unknown
ARC35,YNR035C,Glucose,0.05,-0.33,actin cytoskeleton organization and biogenesis*,structural molecule activity
SOL1,YNR034W,Glucose,0.05,0.11,tRNA-nucleus export*,molecular function unknown*
BIO2,YGR286C,Glucose,0.05,-0.02,biotin biosynthesis,biotin synthase activity
ASC1,YMR116C,Glucose,0.05,0.03,biological process unknown,molecular function unknown
RBG1,YAL036C,Glucose,0.05,-0.4,biological process unknown,GTP binding
PTC4,YBR125C,Glucose,0.05,-0.16,biological process unknown,protein phosphatase type 2C activity
NA,YGR203W,Glucose,0.05,-0.34,biological process unknown,protein tyrosine phosphatase activity*
OXA1,YER154W,Glucose,0.05,-0.48,mitochondrial inner membrane protein import,protein transporter activity
SIT4,YDL047W,Glucose,0.05,-0.7,cell wall organization and biogenesis*,protein serine/threonine phosphatase activity
PUB1,YNL016W,Glucose,0.05,-0.95,"mRNA catabolism, nonsense-mediated decay",nucleic acid binding
FPR4,YLR449W,Glucose,0.05,-0.49,biological process unknown,peptidyl-prolyl cis-trans isomerase activity
FUN12,YAL035W,Glucose,0.05,-0.27,translational initiation,GTPase activity*
DPH2,YKL191W,Glucose,0.05,0.07,peptidyl-diphthamide biosynthesis from peptidyl-histidine,molecular function unknown
DPS1,YLL018C,Glucose,0.05,0.52,protein biosynthesis,RNA binding*
DLD1,YDL174C,Glucose,0.05,0.19,aerobic respiration*,D-lactate dehydrogenase (cytochrome) activity
ASN2,YGR124W,Glucose,0.05,0.74,asparagine biosynthesis,asparagine synthase (glutamine-hydrolyzing) activity
TRM9,YML014W,Glucose,0.05,0.34,response to stress*,tRNA (uridine) methyltransferase activity
DED81,YHR019C,Glucose,0.05,-0.21,asparaginyl-tRNA aminoacylation,ATP binding*
SRM1,YGL097W,Glucose,0.05,-0.67,rRNA-nucleus export*,signal transducer activity
SAM50,YNL026W,Glucose,0.05,-0.43,protein complex assembly*,molecular function unknown
POP2,YNR052C,Glucose,0.05,-0.39,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity
FAA4,YMR246W,Glucose,0.05,0.42,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity
NA,YJL211C,Glucose,0.05,0.18,NA,NA
CEM1,YER061C,Glucose,0.05,-0.26,fatty acid biosynthesis,fatty-acid synthase activity
NA,YOR271C,Glucose,0.05,-0.01,biological process unknown,molecular function unknown
LYS21,YDL131W,Glucose,0.05,0.27,lysine biosynthesis via aminoadipic acid,homocitrate synthase activity
TRA1,YHR099W,Glucose,0.05,-0.29,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity
PDX1,YGR193C,Glucose,0.05,0.23,acetyl-CoA biosynthesis from pyruvate,protein binding
PHB2,YGR231C,Glucose,0.05,-0.02,protein folding*,molecular function unknown
NA,YGR058W,Glucose,0.05,0.03,biological process unknown,molecular function unknown
GSF2,YML048W,Glucose,0.05,-0.17,protein folding*,molecular function unknown
AAP1',YHR047C,Glucose,0.05,0.33,proteolysis and peptidolysis*,aminopeptidase activity
NMA1,YLR328W,Glucose,0.05,-0.1,NAD metabolism,nicotinamide-nucleotide adenylyltransferase activity
CCW14,YLR390W-A,Glucose,0.05,0.04,cell wall organization and biogenesis,structural constituent of cell wall
DOG2,YHR043C,Glucose,0.05,-0.9,response to stress*,2-deoxyglucose-6-phosphatase activity
CYC2,YOR037W,Glucose,0.05,-0.4,mitochondrial intermembrane space protein import*,molecular function unknown
CTR1,YPR124W,Glucose,0.05,-1.2,copper ion import,copper uptake transporter activity
SUT1,YGL162W,Glucose,0.05,-0.54,regulation of transcription from RNA polymerase II promoter*,transcription factor activity*
NAT2,YGR147C,Glucose,0.05,-0.3,N-terminal peptidyl-methionine acetylation,peptide alpha-N-acetyltransferase activity
MRPL10,YNL284C,Glucose,0.05,-0.34,protein biosynthesis,structural constituent of ribosome
NAM2,YLR382C,Glucose,0.05,-0.23,Group I intron splicing*,mRNA binding*
ISM1,YPL040C,Glucose,0.05,-0.36,protein biosynthesis*,isoleucine-tRNA ligase activity
MSF1,YPR047W,Glucose,0.05,-0.14,protein biosynthesis,phenylalanine-tRNA ligase activity
MAS1,YLR163C,Glucose,0.05,-0.03,mitochondrial protein processing,mitochondrial processing peptidase activity
SUV3,YPL029W,Glucose,0.05,-0.47,RNA catabolism,ATP-dependent RNA helicase activity
OMS1,YDR316W,Glucose,0.05,-0.89,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
NA,YGR150C,Glucose,0.05,-0.51,biological process unknown,molecular function unknown
MRPL22,YNL177C,Glucose,0.05,-0.36,protein biosynthesis*,structural constituent of ribosome
ADK2,YER170W,Glucose,0.05,-0.2,nucleotide metabolism,adenylate kinase activity
GUF1,YLR289W,Glucose,0.05,-0.37,biological process unknown,GTPase activity
UBP16,YPL072W,Glucose,0.05,-0.53,protein deubiquitination,ubiquitin-specific protease activity
AAD4,YDL243C,Glucose,0.05,-0.53,aldehyde metabolism,aryl-alcohol dehydrogenase activity
HXK1,YFR053C,Glucose,0.05,-1.39,glucose metabolism*,hexokinase activity
HPA2,YPR193C,Glucose,0.05,-0.03,histone acetylation,histone acetyltransferase activity
LPD1,YFL018C,Glucose,0.05,0.43,glycine catabolism*,glycine dehydrogenase (decarboxylating) activity*
MPM1,YJL066C,Glucose,0.05,0.8,biological process unknown,molecular function unknown
MDM34,YGL219C,Glucose,0.05,0.05,mitochondrion organization and biogenesis,molecular function unknown
MDM38,YOL027C,Glucose,0.05,0.28,mitochondrion organization and biogenesis*,molecular function unknown
NA,YEL070W,Glucose,0.05,-0.32,biological process unknown,molecular function unknown
MAL12,YGR292W,Glucose,0.05,-1.43,maltose catabolism,alpha-glucosidase activity
MAL32,YBR299W,Glucose,0.05,-1.21,maltose catabolism,alpha-glucosidase activity
MHR1,YDR296W,Glucose,0.05,-0.49,mitochondrial genome maintenance,transcription regulator activity
SNZ2,YNL333W,Glucose,0.05,-0.28,thiamin biosynthesis*,protein binding
SNZ3,YFL059W,Glucose,0.05,-0.36,thiamin biosynthesis*,protein binding
YPS6,YIR039C,Glucose,0.05,-0.25,biological process unknown,aspartic-type endopeptidase activity
NA,YKR016W,Glucose,0.05,-0.52,biological process unknown,molecular function unknown
NA,YJR080C,Glucose,0.05,-0.22,biological process unknown,molecular function unknown
RIP1,YEL024W,Glucose,0.05,-0.28,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
SDH3,YKL141W,Glucose,0.05,0.42,tricarboxylic acid cycle*,succinate dehydrogenase (ubiquinone) activity
CYB2,YML054C,Glucose,0.05,0.38,electron transport,L-lactate dehydrogenase (cytochrome) activity
FUN34,YNR002C,Glucose,0.05,1.82,transport*,transporter activity
GPT2,YKR067W,Glucose,0.05,0.35,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity
MIR1,YJR077C,Glucose,0.05,0.11,phosphate transport,inorganic phosphate transporter activity
ATP1,YBL099W,Glucose,0.05,0.27,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism"
QCR2,YPR191W,Glucose,0.05,-0.33,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
GAL3,YDR009W,Glucose,0.05,0.1,"regulation of transcription, DNA-dependent*",protein binding
MRK1,YDL079C,Glucose,0.05,0.06,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity
RPM2,YML091C,Glucose,0.05,0.07,protein biosynthesis*,ribonuclease P activity
HXT6,YDR343C,Glucose,0.05,0.16,hexose transport,glucose transporter activity*
HXT7,YDR342C,Glucose,0.05,0.48,hexose transport,glucose transporter activity*
NA,YML087C,Glucose,0.05,-1.25,biological process unknown,molecular function unknown
MRP51,YPL118W,Glucose,0.05,-0.58,protein biosynthesis*,structural constituent of ribosome
MSD1,YPL104W,Glucose,0.05,-0.29,protein biosynthesis,aspartate-tRNA ligase activity
MRP7,YNL005C,Glucose,0.05,-0.15,protein biosynthesis,structural constituent of ribosome*
GLG2,YJL137C,Glucose,0.05,0.24,glycogen biosynthesis,glycogenin glucosyltransferase activity
NA,YOR356W,Glucose,0.05,0.09,NAD catabolism,"oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor"
MDG1,YNL173C,Glucose,0.05,-0.22,signal transduction during conjugation with cellular fusion,molecular function unknown
ODC1,YPL134C,Glucose,0.05,0.21,mitochondrial transport,intracellular transporter activity*
PET494,YNR045W,Glucose,0.05,0.05,protein biosynthesis,translation regulator activity
PET9,YBL030C,Glucose,0.05,0.59,aerobic respiration*,ATP:ADP antiporter activity
NDI1,YML120C,Glucose,0.05,0.38,"mitochondrial electron transport, NADH to ubiquinone","oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor"
CYT1,YOR065W,Glucose,0.05,0.29,"mitochondrial electron transport, ubiquinol to cytochrome c*","electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity"
TIM54,YJL054W,Glucose,0.05,-0.18,mitochondrial inner membrane protein import,protein transporter activity
MSR1,YHR091C,Glucose,0.05,-0.17,protein biosynthesis*,arginine-tRNA ligase activity
MRH4,YGL064C,Glucose,0.05,-0.21,ribosome biogenesis,RNA helicase activity
TIM50,YPL063W,Glucose,0.05,0.05,mitochondrial matrix protein import,molecular function unknown
CST9,YLR394W,Glucose,0.05,-0.06,synaptonemal complex formation*,DNA binding
MIA40,YKL195W,Glucose,0.05,0.07,protein targeting*,molecular function unknown
NA,YLR077W,Glucose,0.05,0.03,biological process unknown,molecular function unknown
MDV1,YJL112W,Glucose,0.05,-0.18,mitochondrial genome maintenance*,molecular function unknown
YAP6,YDR259C,Glucose,0.05,-0.12,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
NA,YMR002W,Glucose,0.05,-0.17,biological process unknown,molecular function unknown
NA,YOR205C,Glucose,0.05,-0.18,biological process unknown,molecular function unknown
HXT17,YNR072W,Glucose,0.05,-1.44,hexose transport,glucose transporter activity*
MSM1,YGR171C,Glucose,0.05,-0.47,methionyl-tRNA aminoacylation,methionine-tRNA ligase activity
RSM22,YKL155C,Glucose,0.05,-0.15,protein biosynthesis,structural constituent of ribosome
BDH1,YAL060W,Glucose,0.05,-0.71,butanediol fermentation,"(R,R)-butanediol dehydrogenase activity"
NAF1,YNL124W,Glucose,0.05,-0.29,transport*,RNA binding*
THP1,YOL072W,Glucose,0.05,-0.41,bud site selection*,protein binding
NA,YLR193C,Glucose,0.05,0.02,biological process unknown,molecular function unknown
GDS1,YOR355W,Glucose,0.05,-0.23,aerobic respiration,molecular function unknown
TGS1,YPL157W,Glucose,0.05,-0.21,ribosome biogenesis*,RNA methyltransferase activity
NA,YCL005W,Glucose,0.05,-0.55,biological process unknown,molecular function unknown
GAS5,YOL030W,Glucose,0.05,-0.78,biological process unknown,"1,3-beta-glucanosyltransferase activity"
"ADE5,7",YGL234W,Glucose,0.05,-0.78,'de novo' IMP biosynthesis*,phosphoribosylamine-glycine ligase activity*
PDB1,YBR221C,Glucose,0.05,-0.76,pyruvate metabolism,pyruvate dehydrogenase (acetyl-transferring) activity
SSB1,YDL229W,Glucose,0.05,-1.29,protein biosynthesis,ATPase activity*
SSB2,YNL209W,Glucose,0.05,-1.07,protein biosynthesis,ATPase activity*
SAH1,YER043C,Glucose,0.05,-1.04,methionine metabolism*,adenosylhomocysteinase activity
NA,YKL027W,Glucose,0.05,-0.52,biological process unknown,molecular function unknown
NSR1,YGR159C,Glucose,0.05,-0.46,rRNA processing*,RNA binding*
NA,YCR051W,Glucose,0.05,-0.09,biological process unknown,molecular function unknown
TUF1,YOR187W,Glucose,0.05,-0.7,translational elongation,GTPase activity*
GCS1,YDL226C,Glucose,0.05,-0.58,ER to Golgi transport*,actin binding*
